ModeCode,NTDModeCode,AssetDesc,AgencyDetail,AssetStatus,AssetTypeRoot,AssetTypeVariant,YRBuilt,YRInService,AgencyUsefulLife,StdUsefulLife,Quantity,UnitType,UnitCost,AgencySoftCost,TotalCost,YRCost,AssetPhysAddress,AssetPhysZIP,Latitude,Longitude,LineDivision,BranchGarage,SegmentRoute,LocLinearStart,LocLinearEnd,AgencyAssetUID,AgencyAssetClass,AgencyDeptOwner,AgencyNotes,AgencyConditionRating,AgencyParentUID,AgencyProjNum,AgencyProjCat,AgencyProjDesc,AgencySubFleetID,TOS,RevenueFlag,PriorityStatus,TCPScore,SquareFootage,HistoricPresrvFlag,ItemizedFlag,Manufacturer,ManufacturerCode,ModelNumber,FuelType,CapacitySeated,CapacityStanding,DataYR,DataSRC,ReviewFlag,ApprovedFlag,ApprovalComment,DelayReplaceAge,Rehabed,RehabedDate,CostNotes,UserField1,UserField2,UserField3,UserField4,FilterValue,RVID,PercentContingencyFleet,AssetPhysCity,AssetPhysState,DateofLastCondAssessment,AgencyCapitalResponsibility,LastRenewalYR,LastRenewalType,ADAFlag,AdditionalModeSupport,FTARecodeCategory,LastUpdated,Length,OwnershipType,FundingType,MilesThisYR,LifetimeMilesPerVeh
SY,SY,ACCESS SYSTEM KEYWAY SYSTEM,ACCESS SYSTEM KEYWAY SYSTEM,EXT,33300.0,,2015,2015,15,,1.0,Each,25540.1,0.0,25540.1,2015.0,,,,,,,,,,FA00030,,,Adm Bldg Lobby/Recept Area,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,FIRE SUPPRESSION SYSTEM,FIRE SUPPRESSION SYSTEM,EXT,36206.0,,2015,2015,25,,1.0,Each,45078.57,0.0,45078.57,2015.0,,,,,,,,,,FA00016,,,IS Computer Room,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,POWER SUPPLY - UPS,POWER SUPPLY - UPS,EXT,39300.0,,2015,2015,5,,1.0,Each,38517.5,0.0,38517.5,2015.0,,,,,,,,,,BR001930,,,IS Equipment Off Site,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,FIRE SUPPRESS SYSTEM,FIRE SUPPRESS SYSTEM,EXT,21211.0,,2015,2015,25,,1.0,Each,45078.58,0.0,45078.58,2015.0,SR A&D Trailer Tele Equip Rm,,,,,,,,,B0009296,,,"2005 Fire Systems - $45,078.58-SR A&D Tele Equip Rm",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
SY,SY,WORKSTATION,WORKSTATION,EXT,23102.0,,2015,2015,20,,1.0,Each,3307.83,0.0,3307.83,2015.0,Adm Bldg Budget Mgr Office,,,,,,,,,FA00025,,,"2005 Cost-$3,307.83 - Adm Bldg Budget Mgr Office",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,BUS STOP SHELTER,BUS STOP SHELTER,EXT,41006.0,,2015,2015,15,,1.0,Each,417816.79,0.0,417816.79,2015.0,Bus Stop Shelter,,,,,,,,,BG004871,,,"2005 Cost-$417,816.79 - Bus Stop Shelter",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,
FB,FB,SF FT SECURITY ENHANCEMENT,SF FT SECURITY ENHANCEMENT,EXT,43024.0,,2015,2015,15,,1.0,Each,1244298.83,0.0,1244298.83,2015.0,SFFT,,,,,,,,,FA00031,,,"2005 Cost-$1,244,298.83 - SFFT",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,
MB,MB,SAN RAFAEL COMPUTER RM HVAC,SAN RAFAEL COMPUTER RM HVAC,EXT,21505.0,,2015,2015,10,,1.0,Lump Sum,6321.84,0.0,6321.84,2015.0,SR A&D Trailer Computer Rm,,,,,,,,,FA00028,,,"2005 Cost-$6,321.84",,,,,,,,,3.0,,1300.0,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,TELEPHONE SYSTEM,TELEPHONE SYSTEM,EXT,33402.0,,2015,2015,10,,1.0,Each,40828.69,0.0,40828.69,2015.0,D1 Public Information Office,,,,,,,,,FA00024,,,"2005 Cost-$40,828.69 - D1 Publice Information Office",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,SR ABOVE GROUND GAS FUEL TANK,SR UNDERGRD FUEL TANK,EXT,23411.0,,2015,2015,10,,1.0,Each,255045.03,0.0,255045.03,2015.0,D1 Fuel Island,,,,,,,,,FA00027,,,"2005 Cost-$255,045.03-D1 Fuel Island",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,AIR COMPRESSOR PUMP,AIR COMPRESSOR PUMP,EXT,23416.0,,2015,2015,10,,1.0,Each,7868.79,0.0,7868.79,2015.0,,,,,,,,,,BG004873,,,"2005 Cost-$7,868.79-",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,AIR COMPRESSOR,AIR COMPRESSOR,EXT,23416.0,,2015,2015,10,,1.0,Each,6496.95,0.0,6496.95,2015.0,,,,,,,,,,B0009294,,,"2005 Cost-$6,496.95-D1 Maint Shop Compressor Room",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
SY,SY,SERVER,SERVER,EXT,39103.0,,2015,2015,5,,1.0,Each,10555.02,0.0,10555.02,2015.0,,,,,,,,,,A0003512,,,"2005 Cost-$10,555.02 - Adm Bldg Microwave Room",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,COMPUTER - VIRUS WALL APPLI,COMPUTER - VIRUS WALL APPLI,RET,23101.0,,2015,2015,5,,1.0,Each,7085.05,0.0,7085.05,2015.0,IS Computer Room,,,,,,,,,A00003524,,,IS Computer Room,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,COMPUTER - VIRUS WALL APPLI,COMPUTER - VIRUS WALL APPLI,RET,23101.0,,2015,2015,5,,1.0,Each,7085.05,0.0,7085.05,2015.0,IS Computer Room,,,,,,,,,A00003523,,,IS Computer Room,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,ADMIN BLDG GRANTS OFFICE,ADM BLDG GRANTS OFFICE,EXT,21100.0,,2015,2015,5,,1.0,Building,19890.13,0.0,19890.13,2015.0,Adm Bldg Payroll Office,,,,,,,,,BR00000416,,,Adm Bldg Payroll Office,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,ADMIN BLDG ACCTG OFFICE,ADMIN BLDG ACCTG OFFICE,EXT,21100.0,,2015,2015,5,,1.0,Building,22285.73,0.0,22285.73,2015.0,Adm Bldg Acct Office,,,,,,,,,BR00000415,,,Adm Bldg Acct Office,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,NOVATO SERVICE BLDG,NOVATO SERVICE BLDG - ELECTRICAL,EXT,21501.0,,2015,2015,50,,1.0,Lump Sum,8931.25,0.0,8931.25,2015.0,D2 Service Building,,,,,,,,,BG00087201,,,"2004 Electrical-$8,931.25",,,,,,,,,3.0,,3180.0,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,SAN RAFAEL WATER PIPING MOD,SAN RAFAEL WATER PIPING MOD,EXT,21503.0,,2015,2015,25,,1.0,Lump Sum,88310.75,0.0,88310.75,2015.0,D1 Yard,,,,,,,,,FA00018,,,"2004 Cost-$88,310.75 - SAN RAFAEL WATER PIPING MOD - Construct a new parking lot at the north side of Merchant Road west of the admin trailers creating 26 visitor parking spaces and 24 district employee parking spaces.",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
FB,FB,M.V. MENDOCINO - EXHAUST,MV MENDOCINO 2001,RET,38301.0,,2006,2006,20,,1.0,Vehicle,10930.43,0.0,10930.43,2015.0,MV Mendocino,,,,,,,,,FG00099402,,,"2001 Cost-$9,902,260.27; 2004 Change order Mod-$251,514.83; 2006-Exhaust-$10,930.43; 2008 New Flooring-$13,526. Refurb done by 10/1/15, $5,980,000.",,,,,,,,,3.0,,,False,,,,,DF,,,,,,,,20.0,,,,,,,,Revenue Vehicles,,,,,,,,,False,False,Ferryboat (FB),2020-08-11 21:43:43.830,,,,,
SY,SY,NETWORK WIRING UPGRADE,NETWORK WIRING UPGRADE,EXT,33104.0,,2015,2015,20,,1.0,Each,136985.28,0.0,136985.28,2015.0,Adm Bldg Toll Plaza Complex,,,,,,,,,A000350001,,,"2004 Cost-$136,985.28 - Adm Bldg Toll Plaza Complex",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,ADMIN BLDG - VAULT AC,ADMIN BLDG - VAULT AC,EXT,21505.0,,2015,2015,20,,1.0,Lump Sum,8467.0,0.0,8467.0,2015.0,Adm Bldg Tellers Vault,,,,,,,,,BR00000417,,,"2004 Cost-8,467 - Adm Bldg Tellers Vault-Replace Condenser Unit",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,AC UNIT - COMPUTER ROOM,AC UNIT - COMPUTER ROOM,EXT,21505.0,,2015,2015,20,,1.0,Lump Sum,11331.16,0.0,11331.16,2015.0,IS Computer Room,,,,,,,,,BR001928,,,"2004 Cost-$11,331.16 - IS Mechanical Room",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,OIL CHANGE SYSTEM,OIL CHANGE SYSTEM,EXT,23300.0,,2015,2015,15,,1.0,Each,12174.28,0.0,12174.28,2015.0,Heavy Duty Maint. Bldg.,,,,,,,,,BG004869,,,"2004 Cost-$12,174.28 - Heavy Duty Maint. Bldg.",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,OIL CHANGE SYSTEM,OIL CHANGE SYSTEM,EXT,23300.0,,2015,2015,15,,1.0,Each,12174.28,0.0,12174.28,2015.0,Heavy Duty Maint. Bldg.,,,,,,,,,BG004868,,,"2004 Cost-$12,174.28 - Heavy Duty Maint. Bldg.",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,OIL CHANGE SYSTEM,OIL CHANGE SYSTEM,EXT,23300.0,,2015,2015,15,,1.0,Each,12174.28,0.0,12174.28,2015.0,Heavy Duty Maint. Bldg.,,,,,,,,,BG004867,,,"2004 Cost-$12,174.28 - Heavy Duty Maint. Bldg.",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,OIL CHANGE SYSTEM,OIL CHANGE SYSTEM,EXT,23300.0,,2015,2015,15,,1.0,Each,12174.28,0.0,12174.28,2015.0,Heavy Duty Maint. Bldg.,,,,,,,,,BG004866,,,"2004 Cost-$12,174.28 - Heavy Duty Maint. Bldg.",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,MOBILE LIFT SYSTEM,MOBILE LIFT SYSTEM,EXT,23300.0,,2015,2015,15,,1.0,Each,56935.32,0.0,56935.32,2015.0,Heavy Duty Maint. Bldg.,,,,,,,,,BG004782,,,Heavy Duty Maint Bldg,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,CLEANER FLOOR,CLEANER FLOOR,EXT,23300.0,,2015,2015,15,,1.0,Each,6803.64,0.0,6803.64,2015.0,Heavy Duty Maint. Bldg.,,,,,,,,,B0009291,,,"2004 Cost-$6,803.64 - Heavy Duty Maint Bldg",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,SAN RAFAEL HD MAINT BLDG,SAN RAFAEL HD MAINT BLDG,EXT,21211.0,,2015,2015,10,,1.0,Each,14130.0,0.0,14130.0,2015.0,D1 Yard,,,,,,,,,BG00705902,,,"2004-HVAC-$14,130",,,,,,,,,3.0,,8000.0,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
SY,SY,FINANCIAL MGMT & MAINT SYST,FINANCIAL MGMT & MAINT SYST,EXT,39206.0,,2015,2015,10,,1.0,Each,1645893.62,0.0,1645893.62,2015.0,IS Computer Room,,,,,,,,,FA00014,,,"2004 Cost-$1,645,896.62 - IS Computer Room",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,TRUCK VAULT 2004,TRUCK VAULT 2004,EXT,53002.0,,2015,2015,10,,1.0,Vehicles,40384.89,0.0,40384.89,2015.0,D1 Non-Revenue Vehicles,,,,,,,,,B0009293,,,"2004 Cost-$40,384.89 D1 Non-Revenue Vehicles",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,
MB,MB,TRUCK FORD 2004,TRUCK FORD 2004,EXT,53002.0,,2015,2015,10,,1.0,Vehicles,30401.59,0.0,30401.59,2015.0,D1 Non-Revenue Vehicles,,,,,,,,,B0009290,,,"2004 Cost-$30,401.59 D1 Non-Revenue Vehicles",,,,,,,,,3.0,,,False,,,FRD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,
MB,MB,SANTA ROSA SVC BLDG PHONE SWIT,SANTA ROSA SVC BLDG PHONE SWIT,EXT,33400.0,,2015,2015,10,,1.0,Each,20517.42,0.0,20517.42,2015.0,D3 Service Building,,,,,,,,,BG00533402,,,"2004 Cost-20,517.42 -D3 Service Building",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,SAN RAFAEL FUEL ISLAND,SAN RAFAEL FUEL ISLAND,EXT,23405.0,,2015,2015,10,,1.0,Each,23196.6,0.0,23196.6,2015.0,D1 Fuel Island,,,,,,,,,BG00532602,,,"2004 Cost-$23,196.60 - D1 Fuel Island",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,POWER GENERATOR - D3,POWER GENERATOR - D3,EXT,21512.0,,2015,2015,10,,1.0,Each,162766.55,0.0,162766.55,2015.0,D3 Service Building,,,,,,,,,BG0004870,,,"2004 Cost-$162,766.55 - D3 Service Building",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,FORKLIFT CATERPILLAR 1999,FORKLIFT CATERPILLAR 1999,EXT,53003.0,,2015,2015,10,,1.0,Vehicle,14478.75,0.0,14478.75,2015.0,D4 San Francisco Plant,,,,,,,,,B0009283,,,"2004 Cost-$14,478.75 D4 San Francisco Plant",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,
MB,MB,FORKLIFT 2004,FORKLIFT 2004,EXT,53003.0,,2015,2015,10,,1.0,Vehicle,23161.24,0.0,23161.24,2015.0,D1 Non-Revenue Vehicles,,,,,,,,,BG004832,,,"2004 cost-$23,161.24 D1 Non-Revenue Vehicles",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,
MB,MB,BUS SCHEDULING DATABASE,BUS SCHEDULING DATABASE,EXT,37003.0,,2015,2015,10,,1.0,Each,375842.08,0.0,375842.08,2015.0,D1 Conference Room,,,,,,,,,BG00751102,,,"2004 Cost-$375,842.08 - D1 Conference Room",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,VIDEO PROJECTOR,VIDEO PROJECTOR,EXT,39110.0,,2015,2015,7,,1.0,Each,16872.74,0.0,16872.74,2015.0,SR A&D Trailer Training Room,,,,,,,,,B0009282,,,"2004 Cost-$16,872.74 - SR A&D Trailer Training Room",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,VIBRATION KIT,VIBRATION KIT,RET,23102.0,,2015,2015,5,,1.0,Each,8318.34,0.0,8318.34,2015.0,SR Dist Bldg Planning Office,,,,,,,,,A0003513,,,"2004 Cost-$8,318.34 - SR Dist Bldg Planning Office",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
SY,SY,SERVER,SERVER,RET,39103.0,,2015,2015,5,,1.0,Each,5584.51,0.0,5584.51,2015.0,IS Computer Room,,,,,,,,,A0003518,,,"2004 Cost-$5,584.51 - IS Computer Room",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,ROUTING SWITCH (4507),ROUTING SWITCH (4507),RET,39300.0,,2015,2015,5,,1.0,Each,24366.28,0.0,24366.28,2015.0,IS Computer Room,,,,,,,,,A0003489,,,"2004 Cost-$24,366.28 - IS Computer Room",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,COMPUTER SERVER,COMPUTER SERVER,RET,39103.0,,2015,2015,5,,1.0,Each,7543.27,0.0,7543.27,2015.0,IS Computer Room,,,,,,,,,A0003511,,,"2004 Cost-$7,543.27",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
FB,FB,OUTBOARD ENGINE,OUTBOARD ENGINE,EXT,53211.0,,2015,2015,5,,1.0,Vehicles,9652.5,0.0,9652.5,2015.0,LFT Outside Areas,,,,,,,,,F0001993,,,LFT Outside Areas,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Ferryboat (FB),,,,,,
FB,FB,OUTBOARD ENGINE,OUTBOARD ENGINE,EXT,53211.0,,2015,2015,5,,1.0,Vehicles,9652.5,0.0,9652.5,2015.0,LFT Outside Areas,,,,,,,,,F0001992,,,LFT Outside Areas,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Ferryboat (FB),,,,,,
DR,DR,PARATRANSIT SCHEDULING,TRAPEZE SOFTWARE - COMPUTER AIDED DISPATCH,EXT,37003.0,,2015,2015,10,,1.0,Each,100780.12,0.0,100780.12,2015.0,WhistleStop,,,,,,,,,BG00471802,,,"2004 Cost-$100,780.12 - WhistleStop",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Bus (BU),,,,,,
MB,MB,SAN RAFAEL ADMIN BLDG,SAN RAFAEL ADMIN BLDG,EXT,21100.0,,2015,2015,30,,1.0,Building,243660.29,0.0,243660.29,2015.0,D1 Yard,,,,,,,,,B000020812,,,D1 Yard - Admin Bldg Roof Replacement,,,,,,,,,3.0,,19200.0,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,TRAILER OFFICE DRAFTING,TRAILER OFFICE DRAFTING,EXT,21100.0,,2015,2015,25,,1.0,Building,64057.51,0.0,64057.51,2015.0,Bldg B - Procurement Trailer,,,,,,,,,B000021302,,,Bldg B - Procurement Trailer,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,TRAILER OFFICE 1988 ENGR,TRAILER OFFICE 1988 ENGR,EXT,21100.0,,2015,2015,25,,1.0,Building,51418.3,0.0,51418.3,2015.0,Bldg E - Engineering West,,,,,,,,,A000232401,,,Bldg E - Engineering West,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,CONVERTERS,CONVERTERS,EXT,33300.0,,2015,2015,10,,1.0,Each,6231.51,0.0,6231.51,2015.0,,,,,,,,,,BR00166405,,,Adm Bldg Security Equip Room,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,
FB,FB,CONTAINER - METAL BLDG,CONTAINER - METAL BLDG.,EXT,23300.0,,2015,2015,25,,1.0,Each,126994.17,0.0,126994.17,2015.0,LFT Outside Areas,,,,,,,,,F0001450,,,"2003 Cost-$126,994.17 - LFT Outside Areas",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
FB,FB,CONTAINER,CONTAINER,EXT,23300.0,,2015,2015,25,,1.0,Each,86704.86,0.0,86704.86,2015.0,LFT Outside Areas,,,,,,,,,F0001452,,,"2003 Cost-$86,704.86 - LFT Outside Areas",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
FB,FB,CONTAINER,CONTAINER,EXT,23300.0,,2015,2015,25,,1.0,Each,86704.86,0.0,86704.86,2015.0,LFT Outside Areas,,,,,,,,,F0001451,,,"2003 Cost-$86,704.86 - LFT Outside Areas",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
FB,FB,SF FT PEDESTRIAL RAILING,SAN FRANCISCO FERRY TERMINAL,EXT,43000.0,,2015,2015,20,,1.0,Each,156241.23,0.0,156241.23,2015.0,SFFT,,,,,,,,,FG00054305,,,"2003 Cost-$156,241.23 - SFFT - TERMINAL PEDESTRIAL RAILING IMPROVEMENTS",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,
FB,FB,LARKSPUR BLDG - KIOSK,LARKSPUR BLDG - KIOSK,EXT,43010.0,,2015,2015,20,,1.0,Each,47021.48,0.0,47021.48,2015.0,LFT Outside Areas,,,,,,,,,FG00046807,,,"2003 Cost-$47,021.48 - LFT Outside Area",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,
MB,MB,POWER GENERATOR - D1,POWER GENERATOR - D1,EXT,21512.0,,2015,2015,15,,1.0,Each,406583.94,0.0,406583.94,2015.0,Heavy Duty Maint. Bldg.,,,,,,,,,BG004777,,,"2003 Cost-$406,583.94 - Heavy Duty Maint. Bldg.",,,,,,,,,3.0,,680.0,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,OIL CHANGE SYSTEM,OIL CHANGE SYSTEM,EXT,23300.0,,2015,2015,15,,1.0,Each,11713.85,0.0,11713.85,2015.0,D1 Fuel Island,,,,,,,,,BG004853,,,"2003 Cost-$11,713.85 - D1 Fuel Island",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,LIGHT FIXTURES - PIT,LIGHT FIXTURES - PIT,EXT,23200.0,,2015,2015,15,,1.0,Each,8697.89,0.0,8697.89,2015.0,D1 Maint Shop Repair Pit,,,,,,,,,B0009258,,,"2003 Cost-$8,697.89-D1 Maint Shop Repair Pit",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,BUS STOP SHELTER,BUS STOP SHELTER,EXT,41006.0,,2015,2015,15,,1.0,Each,13500.0,0.0,13500.0,2015.0,Bus Stop Shelter,,,,,,,,,BG00132401,,,Bus Stop Shelter,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,
MB,MB,BUS STOP SHELTER,BUS STOP SHELTER,EXT,41006.0,,2015,2015,15,,1.0,Each,13500.0,0.0,13500.0,2015.0,Bus Stop Shelter,,,,,,,,,BG00131601,,,Bus Stop Shelter,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,
MB,MB,NOVATO FUEL TANKS,NOVATO FUEL TANKS,EXT,23411.0,,2015,2015,10,,1.0,Each,115272.21,0.0,115272.21,2015.0,D2 Service Building,,,,,,,,,BG00532202,,,"2003 Cost-$115,272.21 - D2 Service Building",,,,,,,,,3.0,,600.0,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,TELEPHONE SWITCH UPGRADE,TELEPHONE SYSTEM UPGRADE,EXT,33402.0,,2015,2015,10,,1.0,Each,10452.44,0.0,10452.44,2015.0,D1 Transportation Supertdt,,,,,,,,,BG00701107,,,"2003 Cost-$10,452.44 - D1 Transportation Supertdt",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
FB,FB,LIFERAFT INFLATABLE,LIFERAFT INFLATABLE,EXT,43000.0,,2003,2003,7,,1.0,Lot,10178.01,0.0,10178.01,2015.0,LFT Warehouse #1,,,,,,,,,F0001455,,,LFT Warehouse #1,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,False,False,Ferryboat (FB),2019-12-10 00:03:45.467,,,,,
SY,SY,VAN - FORD 2003,VAN - FORD 2003,EXT,53001.0,,2015,2015,7,,1.0,Vehicle,17400.91,0.0,17400.91,2015.0,Adm Bldg Non-Rev Vehicles,,,,,,,,,A0003475,,,"2003 Cost-$17,400.91 Adm Bldg Non-Rev Vehicles",,,,,,,,,3.0,,,False,,,FRD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Automobile (AO),,,,,,
