MB,MB,NOVATO PROPERTY,YARD,EXT,24200,,2015,2015,25,,1,Each,"$179,328.30 ",0,"$179,328.30 ",2015,,,,,,,,,,BG000798,,,"1974 - Cost$179,328 - NOVATO PROPERTY- 6.56 ACRES OFF CHERRY ST",,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
MB,MB,SANTA ROSA PROPERTY,SITE IMPROVEMENT,EXT,24200,,2015,2015,25,,1,Each,"$178,201.47 ",0,"$178,201.47 ",2015,,,,,,,,,,BG000799,,,"1972 - Cost$178,201 - 5.5 ACRES ON PINER ROAD AT INDUS TRIAL DRIVE, SANTA ROSA",,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,SPAULDING BATT SYS IMP MV MARN,SPAULDING BATTERY ELECTRIC DRIVE SYSTEM IMPROVEMENT MV MARIN,EXT,38000,,2015,2015,10,,1,Each,"$177,843.81 ",0,"$177,843.81 ",2015,MS Marin,,,,,,,,,FG00046311,,,MS Marin,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Ferryboat (FB),,,,,,,
MB,MB,DATA PROBING SYSTEM W/10PROBES,DATA PROBING SYSTEM W/ 10 PROBES,EXT,34000,,2015,2015,20,,1,System,"$176,988.75 ",0,"$176,988.75 ",2015,D1 Fuel Island,,,,,,,,,BG004915,,,D1 Fuel Island,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,SF CATHODIC PROTECTION,SF CATHODIC PROTECTION,EXT,38101,,2015,2015,10,,1,Each,"$176,483.97 ",0,"$176,483.97 ",2015,SFFT,,,,,,,,,FG00054302,,,"1990 Cost-$176,483.97 - SFFT",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Passenger Facilities,,,,,,,
MB,MB,SAN RAFAEL WASH RACK,SAN RAFAEL WASH RACK,RET,23402,,2015,2015,15,,1,Each,"$176,000.00 ",0,"$176,000.00 ",2015,D1 Wash Island,,,,,,,,,BG00533001,,,"1989 Cost-$176,000 - D1 Wash Island",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
SY,SY,FINANCIAL MANAGMEENT SYSTEM ANALYSIS,,CMT,39206,,2015,2015,5,,1,Lump Sum,"$175,000.00 ",0,"$175,000.00 ",2015,,,,,,,,,,CIP-1716,,,FINANCIAL MANAGEMENT SYSTEM ANALYSIS,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,MICROWAVE EQUIPMENT,MICROWAVE EQUIPMENT,RET,33500,,2015,2015,10,,1,Each,"$172,271.99 ",0,"$172,271.99 ",2015,TP Communications Equipment,,,,,,,,,BG00477506,,,"2002 Cost-$172,271.99 - tp Communication Equipment",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,NOVATO SERVICE BLDG,NOVATO SERVICE BLDG,EXT,21211,,2015,2015,50,,1,Each,"$168,936.00 ",0,"$168,936.00 ",2015,D2 Service Building,,,,,,,,,BG000872,,,"1976 Perm Structures Cost-$168,936 - D2 Service Building",,,,,,,,,3,,3180,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,LARKSPUR OFFSHORE-FENDER,LARKSPUR OFFSHORE-FENDER,EXT,43024,,2015,2015,25,,1,Each,"$167,940.00 ",0,"$167,940.00 ",2015,LFT Outside Areas,,,,,,,,,FG000532,,,"1977 Cost-$167,940 - LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
MB,MB,NOVATO WASH RACK,NOVATO WASH RACK,EXT,23402,,2015,2015,15,,1,Each,"$166,000.00 ",0,"$166,000.00 ",2015,D2 Service Building,,,,,,,,,BG00532301,,,"1989 Cost-$166,000 - F2 Service Building",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
MB,MB,POWER GENERATOR - D3,POWER GENERATOR - D3,EXT,21512,,2015,2015,10,,1,Each,"$162,766.55 ",0,"$162,766.55 ",2015,D3 Service Building,,,,,,,,,BG0004870,,,"2004 Cost-$162,766.55 - D3 Service Building",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,SF PASSENGER PROTECTION,SF PASSENGER PROTECTION,EXT,43010,,2015,2015,30,,1,Each,"$159,315.06 ",0,"$159,315.06 ",2015,SFFT,,,,,,,,,FG00054304,,,"1996 Cost-$159,315.06 - SFFT - SF PASSENGER PROTECTION",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
FB,FB,SOLID BALLAST SPAULDING MARIN,MS MARIN SOLID BALLAST SPAULDING,EXT,38303,,2012,2012,10,,1,Each,"$159,208.47 ",0,"$159,208.47 ",2015,MS Marin,,,,,,,,,F0001430,,,Ms Marin,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),35:59.1,,,,,,
FB,FB,MV SONOMA SUNDECK,MV SONOMA SUNDECK,EXT,38100,,2015,2015,15,,1,Vehicle,"$158,971.00 ",0,"$158,971.00 ",2015,MS Sonoma,,,,,,,,,FG00046404,,,MS Sonoma,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),42:19.2,,,,,,
FB,FB,SF FT PEDESTRIAL RAILING,SAN FRANCISCO FERRY TERMINAL,EXT,43000,,2015,2015,20,,1,Each,"$156,241.23 ",0,"$156,241.23 ",2015,SFFT,,,,,,,,,FG00054305,,,"2003 Cost-$156,241.23 - SFFT - TERMINAL PEDESTRIAL RAILING IMPROVEMENTS",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
MB,MB,MICROWAVE EQUIPMENT,MICROWAVE EQUIPMENT,RET,33500,,2015,2015,10,,1,Each,"$155,747.31 ",0,"$155,747.31 ",2015,TP Communications Equipment,,,,,,,,,BG004775,,,"2002 Cost-$155,747.31 - TP Communications Equipment",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,SAUSALITO TERMINAL,SAUSALITO TERMINAL,EXT,43010,,2015,2015,30,,1,Each,"$153,260.44 ",0,"$153,260.44 ",2015,Sausilito Layup Berth,,,,,,,,,FG00053902,,,"1998 Cost-$153,260.44 - Sausalito Layup Berth",,,,,,,,,3,,8000,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Parking Facilities,,,,,,,
FB,FB,NEW GENERATORS FOR MS SF,MS SAN FRANCISCO NEW GENERATORS,EXT,38304,,2015,2015,10,,1,Vehicle,"$152,102.93 ",0,"$152,102.93 ",2015,MS San Francisco,,,,,,,,,FG001003,,,MS San Francisco,,,,,,,,,3,,,FALSE,,,,,DF,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),40:26.4,,,,,,
MB,MB,MICROWAVE EQUIPMENT,MICROWAVE EQUIPMENT,RET,33500,,2015,2015,10,,1,Each,"$151,914.29 ",0,"$151,914.29 ",2015,Mt Tam Microwave Equip Lo,,,,,,,,,BG00477501,,,"2002 Cost-$151,914.29 - Mt. Tam Microwave Equip",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,MV DEL NORTE,QL1 OVERHAUL,EXT,38301,,2016,2017,10,,1,Lump Sum,"$150,000.00 ",0,"$150,000.00 ",2015,,,,,,,,,,CIP-1646,,,MV DEL NORTE Main engine QL1 overhaul,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),25:09.4,,,,,,
FB,FB,SPAULDING BATTERY,BIKE CONVEYOR -,CMT,38200,,2017,2017,7,,1,Lump Sum,"$150,000.00 ",0,"$150,000.00 ",2015,,,,,,,,,,CIP-1745,,,SPAULDING - BIKE CONVERYOR,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),17:18.3,,,,,,
MB,MB,TELEPHONE SYSTEM,TELEPHONE SYSTEM,EXT,33402,,2015,2015,10,,1,Each,"$147,047.38 ",0,"$147,047.38 ",2015,D1 Transportation Supertdt,,,,,,,,,BG00701102,,,"1996 Cost-$147,047.38 - D1 Transportation Supertdt",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,SANTA ROSA WASH RACK,SANTA ROSA WASH RACK,EXT,23402,,2015,2015,15,,1,Each,"$146,500.00 ",0,"$146,500.00 ",2015,D3 Service Building,,,,,,,,,BG00533501,,,"1989 Cost-$146,500 - D3 Service Building",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
SY,SY,ADMIN BLDG WASTE WATER,ADMIN BLDG WASTE WATER,EXT,21503,,2015,2015,20,,1,Lump Sum,"$143,710.95 ",0,"$143,710.95 ",2015,,,,,,,,,,BR00000405,,,Adm Bldg Toll Plaza Complex,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
MB,MB,SAN RAFAEL ADMIN REMODEL,SAN RAFAEL ADMIN REMODEL,EXT,21100,,2015,2015,30,,1,Building,"$141,339.00 ",0,"$141,339.00 ",2015,D1 Yard,,,,,,,,,B000020803,,,D1 Yard,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,ENGINE MAIN 149TIB MS,ENGINE MAIN 149TIB MS,RET,38301,,2015,2015,10,,1,Vehicle,"$137,891.25 ",0,"$137,891.25 ",2015,MS San Francisco,,,,,,,,,FG000573,,,MS San Francisco,,,,,,,,,3,,,FALSE,,,,,DF,,0,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),14:47.6,,,,,,
SY,SY,NETWORK WIRING UPGRADE,NETWORK WIRING UPGRADE,EXT,33104,,2015,2015,20,,1,Each,"$136,985.28 ",0,"$136,985.28 ",2015,Adm Bldg Toll Plaza Complex,,,,,,,,,A000350001,,,"2004 Cost-$136,985.28 - Adm Bldg Toll Plaza Complex",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
SY,SY,CAPITAL EQUIPMENT,CAPITAL EQUIPMENT,CMT,21515,,2015,2015,5,,1,Lump Sum,"$134,000.00 ",0,"$134,000.00 ",2015,,,,,,,,,,CIP-1719,,,CAPITAL EQUIPMENT,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,BUS PAD & TURNOUT,BUS PAD & TURNOUT,EXT,41300,,2015,2015,10,,1,Each,"$130,950.00 ",0,"$130,950.00 ",2015,Bus Stop Shelter,,,,,,,,,BG007077,,,"1990 Cost-130,950 - FAIRFAX MAIN BUS STOP",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
MB,MB,NOVATO RR CROSSING,NOVATO RR CROSSING - TO BE TRANSFERRED TO SMART,EXT,10210,,2015,2015,15,,1,Each,"$129,706.00 ",0,"$129,706.00 ",2015,D2 Service Building,,,,,,,,,BG005320,,,"1976 Cost-$129,706 - NOVATO RR CROSSING AND CHERRY ST ACESS RD- per 6-29-15 call with Steve Miller asset has since been transferred to SMART",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Infrastructure,,,,,,,,,,,Grade Crossings,,,,,,,
SY,SY,ADMIN BLDG ADA IMPROVEMENT,ADMIN BLDG ADA IMPROVEMENT,EXT,21509,,2015,2015,30,,1,Building,"$128,863.00 ",0,"$128,863.00 ",2015,,,,,,,,,,BR00000411,,,Adm Bldg Toll Plaza Complex,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,CONTAINER - METAL BLDG,CONTAINER - METAL BLDG.,EXT,23300,,2015,2015,25,,1,Each,"$126,994.17 ",0,"$126,994.17 ",2015,LFT Outside Areas,,,,,,,,,F0001450,,,"2003 Cost-$126,994.17 - LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,EROSION STUDY,LARKSPUR FERRY TERMINAL,EXT,43000,,2015,2015,10,,1,Lump Sum,"$125,439.37 ",0,"$125,439.37 ",2015,,,,,,,,,,F000039801,,,CORTE MADERA,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
MB,MB,EAST BAY MICROWAVE SITE,EAST BAY MICROWAVE SITE,RET,33500,,2015,2015,10,,1,Each,"$125,000.00 ",0,"$125,000.00 ",2015,TP Communications Equipment,,,,,,,,,BG007060,,,"1989 Cost-$125,000 - TP Communications Equipment",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,MUZZI PROPTY IMPROVEMENT,MUZZI PROPTY IMPROVEMENT,EXT,43010,,2015,2015,25,,1,Each,"$122,925.00 ",0,"$122,925.00 ",2015,LFT Outside Areas,,,,,,,,,F0000942,,,"1981 Cost-$122,925 - LFT Outside Areas - MUZZI PROPTY IMPROVEMENT",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
FB,FB,LARKSPUR TERMINAL LIGHTS,LARKSPUR TERMINAL LIGHTS,EXT,43010,,2015,2015,30,,1,Each,"$122,869.62 ",0,"$122,869.62 ",2015,LFT Outside Areas,,,,,,,,,FG000750,,,"1993 Cost-$122,869.62 - LARKSPUR TERMINAL LIGHTS",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
FB,FB,MV MENDOCINO FUEL INJECTOR,MV MENDOCINO FUEL INJECTOR,EXT,38301,,2014,2014,3,,1,Each,"$117,568.12 ",0,"$117,568.12 ",2015,MV Mendocino,,,,,,,,,FG000822,,,MV Mendocino,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),01:09.1,,,,,,
DR,DR,PARATRANSIT SCHEDULING,TRAPEZE SOFTWARE - COMPUTER AIDED DISPATCH,EXT,37003,,2015,2015,10,,1,Each,"$116,745.38 ",0,"$116,745.38 ",2015,WhistleStop,,,,,,,,,BG004718,,,"1999 Cost-$116,745.38 - WhistleStop",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Bus (BU),,,,,,,
MB,MB,NOVATO FUEL TANKS,NOVATO FUEL TANKS,EXT,23411,,2015,2015,10,,1,Each,"$115,272.21 ",0,"$115,272.21 ",2015,D2 Service Building,,,,,,,,,BG00532202,,,"2003 Cost-$115,272.21 - D2 Service Building",,,,,,,,,3,,600,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,LARKSPUR FUEL TANK,LARKSPUR FUEL TANK,EXT,23411,,2015,2015,20,,1,Each,"$115,206.84 ",0,"$115,206.84 ",2015,LFT Outside Areas,,,,,,,,,FG00047201,,,"1989 Cost-$115,206.84 - LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,LARKSPUR TERMINAL ADA,LARKSPUR TERMINAL ADA,EXT,43010,,2015,2015,30,,1,Each,"$114,244.11 ",0,"$114,244.11 ",2015,LFT Outside Areas,,,,,,,,,FG00046803,,,"1996 Cost-$114,244.11 - LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
MB,MB,NOVATO DISPATCH OFFICE,NOVATO DISPATCH OFFICE,EXT,33851,,2015,2015,25,,1,Each,"$113,661.00 ",0,"$113,661.00 ",2015,D2 Dispatch Building,,,,,,,,,BG005321,,,"1976 Permanent Structure-$113,661. - D2 Dispatch Building",,,,,,,,,3,,1200,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,SAN RAFAEL YARD RESURFAC,SAN RAFAEL YARD RESURFACE,EXT,21210,,2015,2015,10,,1,Each,"$111,388.29 ",0,"$111,388.29 ",2015,D1 Yard,,,,,,,,,BG00532703,,,D1 Yard,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
SY,SY,DISTRICT CAPITAL EQUIPMENT,DISTRICT CAPITAL EQUIPMENT,EXT,23200,,2015,2015,5,,1,Each,"$110,737.66 ",0,"$110,737.66 ",2015,,,,,,,,,,CIP-1216,,,Go live system.,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,SAN RAFAEL YARD RESURFAC,SAN RAFAEL YARD RESURFAC,EXT,22300,,2015,2015,10,,1,Each,"$110,679.77 ",0,"$110,679.77 ",2015,D1 Yard,,,,,,,,,BG00532706,,,"2004 Cost-$110,679.77 - D1 Yard",,,,,,,,,3,,490000,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
MB,MB,SAN RAFAEL COMMUTER LOT,SAN RAFAEL COMMUTER LOT,EXT,41602,,2015,2015,10,,1,Space,"$110,417.02 ",0,"$110,417.02 ",2015,D1 Yard,,,,,,,,,BG007384,,,"1991 Cost-$110,417.02 - D1 Yard",,,,,,,,,3,,45504,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Parking Facilities,,,,,,,
FB,FB,LARKSPUR TERMINAL ADA,LARKSPUR TERMINAL ADA,EXT,43010,,2015,2015,30,,1,Each,"$110,000.00 ",0,"$110,000.00 ",2015,LFT Outside Areas,,,,,,,,,FG00046802,,,"1995 Cost-$110,000 - LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
MB,MB,SAN RAFAEL FUEL TANKS,SAN RAFAEL FUEL TANKS,RET,23411,,2015,2015,10,,1,Each,"$109,674.99 ",0,"$109,674.99 ",2015,D1 Fuel Island,,,,,,,,,BG00532506,,,"1999 Cost-$109,674.99 - D1 Fuel Island",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
SY,SY,TELEPHONE SWITCH-SAN RAFAEL,TELEPHONE SWITCH-SAN RAFAEL,EXT,33403,,2015,2015,5,,1,Each,"$109,439.09 ",0,"$109,439.09 ",2015,SR A&D Trailer Tele Equip Rm,,,,,,,,,A0003613,,,SR A&D Trailer Tele Equip Rm,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,SAN RAFAEL ADMIN HVAC,SAN RAFAEL ADMIN SECURITY,EXT,21100,,2015,2015,20,,1,Building,"$108,210.92 ",0,"$108,210.92 ",2015,D1 Yard,,,,,,,,,B000020810,,,D1 Yard,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
SY,SY,E-DISCOVERY SOLUTION,solution to improve service for Public Records Act,EXT,39200,,2015,2015,5,,1,Each,"$107,919.54 ",0,"$107,919.54 ",2015,,,,,,,,,,CIP-1611-16,,,Electronic solution to Public Records Act,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,LARKSPUR BILGEWATER SYS,LARKSPUR BILGEWATER SYS,EXT,43024,,2015,2015,30,,1,Each,"$107,807.00 ",0,"$107,807.00 ",2015,LFT Outside Areas,,,,,,,,,FG000677,,,LFT Outside Areas,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
SY,SY,SR TRAILER/TRAINING FAC,SR TRAILER/TRAINING FAC,EXT,21500,,2015,2015,15,,1,Lump Sum,"$107,720.79 ",0,"$107,720.79 ",2015,D1 Yard,,,,,,,,,FA00032,,,D1 Yard,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
SY,SY,SR TRAILER/TRAINING FAC,SR TRAILER/TRAINING FAC,EXT,21100,,2015,2015,30,,1,Building,"$107,720.78 ",0,"$107,720.78 ",2015,D1 Yard,,,,,,,,,FA00033,,,D1 Yard,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,SANTA ROSA COMMUTER LOT,SANTA ROSA COMMUTER LOT,EXT,41602,,2015,2015,35,,1,Space,"$107,289.00 ",0,"$107,289.00 ",2015,D3 Service Building,,,,,,,,,BG005331,,,"1978 Parking Facilities-Concrete-$107,289 - D3 Service Building",,,,,,,,,3,,56000,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Parking Facilities,,,,,,,
MB,MB,SANTA ROSA FUEL ISLAND,SANTA ROSA FUEL ISLAND,EXT,23405,,2015,2015,30,,1,Each,"$107,234.00 ",0,"$107,234.00 ",2015,D3 Service Building,,,,,,,,,BG005336,,,D3 Service Building,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
SY,SY,NETWORK REDUNDANCY PROJECT,,EXT,39301,,2015,2015,7,,1,Each,"$106,948.75 ",0,"$106,948.75 ",2015,Bldg H - IS Trailer,,,,,,,,,A0003649,,,"CIP-1553 Also see Tag #A0003635, 3636, 3637. See also Fatpipe. The $106,949 is the remaining balance to complete Network Redundancy.",,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,GEAR BOX REVERSING MS,GEAR BOX REVERSING MS,EXT,38302,,2015,2015,10,,1,Vehicle,"$106,550.50 ",0,"$106,550.50 ",2015,LFT Warehouse #1,,,,,,,,,FG000567,,,LFT Warehouse #1,,,,,,,,,3,,,FALSE,,,,,DF,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),11:17.9,,,,,,
FB,FB,GEAR BOX REVERSING MS SONOMA,MS SONOMA GEAR BOX REVERSING,EXT,38302,,2015,2015,10,,1,Vehicle,"$106,550.50 ",0,"$106,550.50 ",2015,MS Sonoma,,,,,,,,,FG000568,,,MS Sonoma,,,,,,,,,3,,,FALSE,,,,,DF,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),58:28.0,,,,,,
FB,FB,MUZZI PROPTY IMPROVEMENT,MUZZI PROPTY IMPROVEMENT,EXT,43010,,2015,2015,25,,1,Each,"$105,458.00 ",0,"$105,458.00 ",2015,LFT Outside Areas,,,,,,,,,F000094201,,,"1982 Cost-$105,458 - LFT Outside Areas - MUZZI PROPTY IMPROVEMENT",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
FB,FB,HYDRAULIC CYLINDERS (4),HYDRAULIC CYLINDERS (4),RET,23300,,2015,2015,10,,1,Each,"$103,269.66 ",0,"$103,269.66 ",2015,LFT Parts Room,,,,,,,,,FG000701,,,LFT Parts Room,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,SAUSALITO L/T LEASE,SAUSALITO L/T LEASE,EXT,43010,,2015,2015,27,,1,Each,"$101,750.00 ",0,"$101,750.00 ",2015,Sausilito Layup Berth,,,,,,,,,FG000188,,,"1975 Cost-$101,750 - SausAlito Layup Berth - 26 YEAR LEASE PLUS APPRAISAL COSTS OF $2,750",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Parking Facilities,,,,,,,
SY,SY,MS OFFICE/NETWORK UPGRADE,MS OFFICE/NETWORK UPGRADE,RET,39201,,2015,2015,3,,1,Each,"$101,154.79 ",0,"$101,154.79 ",2015,IS Managers Office,,,,,,,,,FA00034,,,"2006 Cost-$101,154.79 - IS Managers Office",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,MICROWAVE EQUIPMENT,MICROWAVE EQUIPMENT,RET,33500,,2015,2015,10,,1,Each,"$100,951.46 ",0,"$100,951.46 ",2015,"Big Rock Mtn, Novato",,,,,,,,,BG00477502,,,"2002 Cost-$100,951.46 - Big Rock Mtn, Novato",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
DR,DR,PARATRANSIT SCHEDULING,TRAPEZE SOFTWARE - COMPUTER AIDED DISPATCH,EXT,37003,,2015,2015,10,,1,Each,"$100,780.12 ",0,"$100,780.12 ",2015,WhistleStop,,,,,,,,,BG00471802,,,"2004 Cost-$100,780.12 - WhistleStop",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Bus (BU),,,,,,,
FB,FB,GANGWAY & PIERS - 2017,FERRY FACILITIES REHABILITATION AND DREDGING,EXT,43022,,2015,2015,30,,1,Lump Sum,"$100,000.00 ",0,"$100,000.00 ",2015,,,,,,,,,,CIP-0503-17,,,2017 - CIP-0503,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
